    0 |          0.001           0.01          0.025           0.05          0.075            0.1            0.9          0.925           0.95          0.975           0.99          0.999
    1 |  10.8275661707    6.634896601   5.0238861873   3.8414588207    3.170053272   2.7055434541   0.0157907741   0.0088618528     0.00393214   0.0009820691   0.0001570879   0.0000015708
    2 |   13.815510558    9.210340372   7.3777589082   5.9914645471   5.1805343309    4.605170186   0.2107210313   0.1559230829   0.1025865888    0.050635616   0.0201006717   0.0020010007
    3 |  16.2662361962  11.3448667301   9.3484036045   7.8147279033   6.9046440635   6.2513886312   0.5843743742   0.4719925768   0.3518463177   0.2157952826   0.1148318019   0.0242975858
    4 |  18.4668269529   13.276704136  11.1432867819   9.4877290368   8.4962822078   7.7794403397   1.0636232168   0.8969359201   0.7107230214   0.4844185571   0.2971094805   0.0908040355
    5 |  20.5150056524  15.0862724694   12.832501994  11.0704976935  10.0083145348   9.2363568998    1.610307987   1.3937108513   1.1454762261   0.8312116135   0.5542980767   0.2102126026
    6 |  22.4577444848  16.8118938298  14.4493753354  12.5915872437  11.4659455077  10.6446406757   2.2041306565   1.9414931912   1.6353828943   1.2373442458   0.8720903302   0.3810667551
    7 |  24.3218863479  18.4753069066  16.0127642746  14.0671404493  12.8834319491  12.0170366238   2.8331069178   2.5276583864   2.1673499093   1.6898691807   1.2390423056   0.5984937524
    8 |  26.1244815584  20.0902350297  17.5345461395  15.5073130559  14.2697424068  13.3615661365   3.4895391256    3.143973531   2.7326367935   2.1797307473   1.6464973727   0.8571048273
    9 |  27.8771648713  21.6659943335  19.0227677986  16.9189776046  15.6309442353  14.6836565733   4.1681590081   3.7847489862   3.3251128431      2.7003895   2.0879007359   1.1519495462
   10 |  29.5882984451   23.209251159  20.4831773508  18.3070380533  16.9713652508  15.9871791721   4.8651820519   4.4458700729   3.9402991361   3.2469727802   2.5582121602   1.4787434638
   11 |  31.2641336202  24.7249703113   21.920049261  19.6751375727  18.2942193756  17.2750085175   5.5777847898   5.1242520224   4.5748130793   3.8157482522   3.0534841066   1.8338526647
   12 |  32.9094904074  26.2169673055  23.3366641586  21.0260698175  19.6019701905  18.5493477867   6.3037960596   5.8175139935   5.2260294884    4.403788507   3.5705689706   2.2142093205
   13 |  34.5281789749  27.6882496105  24.7356048849  22.3620324948  20.8965550579  19.8119293071   7.0415045801   6.5237740451   5.8918643377   5.0087505118   4.1069154715    2.617218147
   14 |  36.1232736804  29.1412377407   26.118948045  23.6847913048  22.1795299985   21.064144213   7.7895336098   7.2415146593   6.5706313838    5.628726103   4.6604250627   3.0406725208
   15 |  37.6972982184  30.5779141669  27.4883928634  24.9957901397  23.4521670528  22.3071295816   8.5467562417   7.9694913707   7.2609439277    6.262137795   5.2293488841   3.4826844659
   16 |  39.2523547908  31.9999269088  28.8453507234  26.2962276049  24.7155218711  23.5418289231   9.3122363538   8.7066687929   7.9616455724   6.9076643535   5.8122124701   3.9416278435
   17 |  40.7902167069   33.408663605  30.1910091216  27.5871116383  25.9704819461  24.7690353439  10.0851863346   9.4521746564   8.6717602047   7.5641864496   6.4077597777   4.4160927246
   18 |  42.3123963317  34.8053057347  31.5263784404  28.8692994304  27.2178018553  25.9894230826  10.8649361165  10.2052660411   9.3904550807   8.2307461948   7.0149109012   4.9048488087
   19 |  43.8201959645  36.1908691293  32.8523268617  30.1435272056  28.4581295464  27.2035710294  11.6509100321  10.9653040762  10.1170130639    8.906516482   7.6327296476   5.4068160176
   20 |  45.3147466181  37.5662347866  34.1696069028  31.4104328442  29.6920262991  28.4119805843  12.4426092105  11.7317346549  10.8508113942   9.5907773923   8.2603983325   5.9210407455
   21 |  46.7970380416  38.9321726835  35.4788759057  32.6705733409  30.9199821265  29.6150894362  13.2395979754  12.5040735071  11.5913052088  10.2828977825   8.8971979421   6.4466765632
   22 |  48.2679422908  40.2893604376   36.780712084  33.9244384714  32.1424278294   30.813282344  14.0414931894  13.2818944844  12.3380145788  10.9823207345   9.5424923388   6.9829684412
   23 |  49.7282324664  41.6383981189  38.0756272504  35.1724616269  33.3597445495  32.0068996817  14.8479557993  14.0648202539  13.0905141882  11.6885519225  10.1957155557   7.5292397652
   24 |  51.1785977774  42.9798201394  39.3640770266  36.4150285018  34.5722714294  33.1962442886  15.6586840525  14.8525148209  13.8484250272  12.4011502174  10.8563614755   8.0848815808
   25 |  52.6196557762  44.3141048962  40.6464691203  37.6524841335  35.7803118174  34.3815870176  16.4734079987   15.644677462  14.6114076395  13.1197200249  11.5239753722   8.6493436284
   26 |  54.0519623886  45.6416826663  41.9231700964  38.8851386598  36.9841383417  35.5631712719  17.2918849897  16.4410377546  15.3791565833   13.843904982  12.1981469235   9.2221268242
   27 |  55.4760202057  46.9629421248  43.1945109662  40.1132720694  38.1839970958  36.7412167478  18.1138959669  17.2413514723  16.1513958497  14.5733827308  12.8785043931   9.8027769184
   28 |  56.8922853934  48.2782357703  44.4607918363  41.3371381514  39.3801111183  37.9159225447  18.9392423719  18.0453971675  16.9278750444  15.3078605526  13.5647097546  10.3908791158
   29 |  58.3011734898  49.5878844729  45.7222858042  42.5569678043  40.5726833075  39.0874697707  19.7677435595  18.8529733059  17.7083661828  16.0470716954  14.2564545763  10.9860534886
   30 |  59.7030643044  50.8921813115  46.9792422437  43.7729718257  41.7618988784  40.2560237387  20.5992346146   19.663895849   18.492660982  16.7907722656  14.9534565285  11.5879510456
   31 |  61.0983060811  52.1913948332  48.2318895945  44.9853432804  42.9479274476  41.4217358298  21.4335645003  20.4779961999  19.2805685591  17.5387385815  15.6554564017  12.1962503483
   32 |  62.4872190571  53.4857718362   49.480437743  46.1942595203  44.1309248123   42.584745083  22.2705944766  21.2951194498  20.0719134645  18.2907649073  16.3622155477  12.8106545828
